,hba1c,blood_pressure,cholesterol,serum_creatinine,urine_albumin,retinal_screening,foot_surveillance,bmi,smoking,all_eight_care_processes,all_nine_care_processes,hba1c_le_48_mmol_mol_6_5pct,hba1c_le_53_mmol_mol_7_0pct,hba1c_le_58_mmol_mol_7_5pct,hba1c_le_75_mmol_mol_9_0pct,hba1c_le_86_mmol_mol_10_0pct,blood_pressure_le_140_80,primary_prevention_on_statins_without_cvd_history,secondary_prevention_on_statins_with_cvd_history,combined_prevention_on_statins,all_three_treatment_targets
all_nine_care_processes,0.8458252718410199,0.8821867266591676,0.871382077240345,0.8164169478815149,0.8757615298087739,0.8954690663667042,0.9087274090738657,0.933846269216348,0.8553940757405324,0.9305466816647919,1.0,0.056431946006749154,0.20650918635170604,0.2844634420697413,0.3187491563554556,0.33440119985001876,0.5874675665541808,0.139071616047994,0.03189501312335958,0.11791826021747281,0.4639010123734533
hba1c_le_48_mmol_mol_6_5pct,0.033304836895388074,0.055742032245969256,0.13496212973378327,-0.04960479940007499,0.0506726659167604,0.0816827896512936,0.16363854518185228,0.019026621672290963,0.17992050993625797,0.05731983502062242,0.056431946006749154,1.0,0.9150446194225722,0.8206044244469441,0.6371533558305212,0.5660262467191601,0.386474690663667,0.02699962504686914,0.20183577052868393,0.06297712785901763,0.6518575178102737
hba1c_le_53_mmol_mol_7_0pct,0.1516040494938133,0.18148631421072367,0.2642819647544057,0.07841319835020623,0.17698687664041995,0.20359955005624297,0.29937157855268093,0.1506081739782527,0.30220922384701915,0.19729433820772405,0.20650918635170604,0.9150446194225722,1.0,0.9643224596925384,0.8198425196850394,0.7283299587551556,0.45869966254218225,0.06500487439070116,0.1683299587551556,0.07888713910761155,0.7466456692913386
hba1c_le_58_mmol_mol_7_5pct,0.2425946756655418,0.2804199475065617,0.3618177727784027,0.16423247094113236,0.25822272215973,0.278854143232096,0.4051683539557555,0.2442984626921635,0.3973573303337083,0.2765564304461942,0.2844634420697413,0.8206044244469441,0.9643224596925384,1.0,0.9075575553055868,0.8178867641544807,0.5154885639295088,0.0820607424071991,0.16030296212973377,0.08310461192350956,0.7927919010123734
hba1c_le_75_mmol_mol_9_0pct,0.35256092988376453,0.3616197975253093,0.4098417697787777,0.2845714285714286,0.2848233970753656,0.32246269216347956,0.453456317960255,0.3225406824146982,0.3777397825271841,0.313511811023622,0.3187491563554556,0.6371533558305212,0.8198425196850394,0.9075575553055868,1.0,0.9697217847769029,0.450636670416198,0.049868766404199474,-0.034984626921634794,0.028277465316835396,0.6808218972628421
hba1c_le_86_mmol_mol_10_0pct,0.41805474315710534,0.41113760779902514,0.43690438695163103,0.3380007499062617,0.2916565429321335,0.35090513685789276,0.4703622047244094,0.3644334458192726,0.36474540682414697,0.3184071991001125,0.33440119985001876,0.5660262467191601,0.7283299587551556,0.8178867641544807,0.9697217847769029,1.0,0.4357165354330709,0.026651668541432322,-0.1263172103487064,0.0009508811398575178,0.6203854518185227
blood_pressure_le_140_80,0.5865616797900263,0.6281424821897262,0.6676355455568054,0.471748031496063,0.4851743532058493,0.5953745781777278,0.6670896137982752,0.584755905511811,0.7315035620547432,0.5001844769403825,0.5874675665541808,0.386474690663667,0.45869966254218225,0.5154885639295088,0.450636670416198,0.4357165354330709,1.0,0.22643269591301088,0.16794600674915636,0.2361814773153356,0.8683044619422572
primary_prevention_on_statins_without_cvd_history,0.07649343832020998,0.11208098987626547,0.15483764529433822,0.035578552680914886,0.07960704911886014,0.14862842144731908,0.14260517435320585,0.11587251593550806,0.25604499437570305,0.11645444319460067,0.139071616047994,0.02699962504686914,0.06500487439070116,0.0820607424071991,0.049868766404199474,0.026651668541432322,0.22643269591301088,1.0,0.6912125984251969,0.9786186726659167,0.2949621297337833
secondary_prevention_on_statins_with_cvd_history,-0.12277165354330709,-0.06132733408323959,0.04845894263217098,-0.17936857892763405,0.010333708286464191,-0.00011098612673415823,0.08162879640044994,-0.04700712410948631,0.29330033745781775,0.044487439070116236,0.03189501312335958,0.20183577052868393,0.1683299587551556,0.16030296212973377,-0.034984626921634794,-0.1263172103487064,0.16794600674915636,0.6912125984251969,1.0,0.7416722909636295,0.32438245219347583
combined_prevention_on_statins,0.05899962504686914,0.09733483314585677,0.14373903262092239,0.02134233220847394,0.048752905886764154,0.12656917885264343,0.12552530933633296,0.09581102362204724,0.25704086989126357,0.09349531308586427,0.11791826021747281,0.06297712785901763,0.07888713910761155,0.08310461192350956,0.028277465316835396,0.0009508811398575178,0.2361814773153356,0.9786186726659167,0.7416722909636295,1.0,0.30343907011623544
all_three_treatment_targets,0.41929058867641544,0.4661447319085114,0.550602174728159,0.31219797525309334,0.38328308961379826,0.46098537682789653,0.5785946756655418,0.42890138732658417,0.6399910011248594,0.408755905511811,0.4639010123734533,0.6518575178102737,0.7466456692913386,0.7927919010123734,0.6808218972628421,0.6203854518185227,0.8683044619422572,0.2949621297337833,0.32438245219347583,0.30343907011623544,1.0
