bootstrap_id,unweighted_mae_difference,weighted_mae_difference
967,-1.4561,-1.3312
968,-1.6488,-1.711
969,-1.9663,-1.9721
970,-1.5095,-1.0501
971,-1.3717,-1.5488
972,-2.3493,-2.3217
973,-1.8009,-1.5954
974,-1.9792,-1.5898
975,-1.788,-1.7692
976,-0.8003,-0.5494
977,-1.8037,-2.1447
978,-1.8305,-1.844
979,-1.8841,-1.9535
980,-0.4155,-0.5348
981,-1.7206,-1.8012
982,-1.2713,-1.2468
983,-1.4242,-1.771
984,-1.1739,-1.042
985,-1.7659,-1.7002
986,-1.5248,-1.5996
987,-0.849,-0.8007
988,-1.5206,-1.9162
989,-2.4078,-2.3857
990,-1.1451,-1.2409
991,-1.8429,-2.0694
992,-1.0054,-0.9612
993,-1.6027,-1.9632
994,-1.3816,-1.2179
995,-1.9877,-1.9493
996,-1.8255,-1.5309
997,-0.7807,-0.8285
998,-1.6315,-1.389
999,-1.6214,-1.7952
1000,-1.726,-1.8652
1001,-1.803,-1.7385
1002,-2.3822,-2.5569
1003,-1.7182,-1.336
1004,-1.0005,-1.3616
1005,-1.9448,-2.2028
1006,-1.9117,-1.9635
1007,-1.0603,-1.0906
1008,-2.2628,-2.4076
1009,-1.5595,-1.5658
1010,-0.8412,-1.1099
1011,-1.8162,-1.8712
1012,-2.1389,-1.9184
1013,-1.091,-1.5221
1014,-1.301,-1.2232
1015,-1.8815,-1.418
1016,-0.8737,-0.5582
1017,-1.3284,-1.3762
1018,-2.8159,-2.817
1019,-1.9103,-2.0054
1020,-1.368,-1.522
1021,-1.7081,-1.4961
1022,-0.7939,-0.7652
1023,-1.306,-1.3388
1024,-2.2935,-2.4996
1025,-0.7347,-0.8175
1026,-1.8674,-1.616
1027,-1.3779,-1.7957
1028,-1.2812,-1.0608
1029,-0.6024,-0.3182
1030,-1.5308,-1.9112
1031,-1.244,-1.1025
1032,-2.1882,-2.53
1033,-1.4034,-1.7931
1034,-1.9853,-1.9693
1035,-0.9866,-0.8119
1036,-0.7566,-0.793
1037,-1.3387,-1.1571
1038,-1.6375,-2.3258
1039,-1.9151,-2.3195
1040,-2.5893,-2.6427
1041,-2.1137,-2.1812
1042,-1.3618,-1.2634
1043,-1.4679,-1.1057
1044,-1.2629,-1.2565
1045,-1.8458,-1.8024
1046,-1.9208,-2.3106
1047,-2.2716,-1.9123
1048,-1.3152,-1.5716
1049,-1.0149,-0.5311
1050,-0.7467,-0.5677
1051,-1.1348,-1.1063
1052,-0.8142,-0.9955
1053,-1.4996,-2.1196
1054,-1.8729,-2.1861
1055,-0.8737,-0.5661
1056,-1.8277,-1.8307
1057,-1.9973,-2.0257
1058,-0.6806,-0.5386
1059,-2.8481,-2.4992
1060,-0.6121,-0.7266
1061,-1.7832,-1.7865
1062,-1.8422,-1.616
1063,-1.1232,-1.0182
1064,-1.5966,-1.2087
1065,-2.0873,-2.1004
1066,-1.2256,-0.8602
1067,-1.7641,-2.1524
1068,-1.8819,-1.8454
1069,-1.6471,-1.5652
1070,-2.945,-2.7969
1071,-0.9625,-1.2646
1072,-1.8915,-1.8715
1073,-1.4759,-1.6597
1074,-2.336,-2.0556
1075,-0.9416,-0.8312
1076,-1.7455,-1.6124
1077,-1.7919,-1.5182
1078,-1.1292,-1.0732
1079,-2.0843,-2.5668
1080,-2.034,-2.1556
1081,-1.751,-1.8567
1082,-1.5664,-1.1782
1083,-1.47,-1.4022
1084,-1.2633,-0.9926
1085,-2.0606,-2.2102
1086,-1.4207,-1.3277
1087,-1.4104,-1.5171
1088,-2.3813,-2.2413
1089,-0.8231,-1.0183
1090,-1.8921,-1.9616
1091,-1.405,-1.4093
1092,-1.1297,-0.4853
1093,-1.5954,-1.3971
1094,-1.9294,-1.6844
1095,-1.1363,-1.0173
1096,-0.9501,-1.1412
1097,-1.5774,-2.1084
1098,-1.8738,-1.7565
1099,-1.3907,-1.4143
1100,-0.535,-0.2216
1101,-1.4833,-1.5686
1102,-1.2017,-1.043
1103,-1.757,-1.6914
1104,-1.9353,-1.9523
1105,-0.7947,-0.8536
1106,-1.5477,-1.7286
1107,-0.6943,-0.5525
1108,-2.0496,-1.6307
1109,-1.5529,-1.6887
1110,-2.6199,-2.3285
1111,-2.3513,-2.3987
1112,-1.5225,-1.3213
1113,-1.5989,-1.4013
1114,-1.5392,-1.6417
1115,-0.3644,-0.2996
1116,-1.6507,-1.7825
1117,-1.689,-1.7257
1118,-1.4682,-1.4119
1119,-1.767,-2.056
1120,-1.6145,-1.6117
1121,-1.6773,-1.539
1122,-2.2353,-2.2057
1123,-1.3289,-0.8899
1124,-1.9968,-2.0301
1125,-1.3949,-1.4395
1126,-0.8648,-1.5995
1127,-1.942,-1.7652
1128,-2.098,-2.0818
1129,-1.6445,-1.5759
1130,-2.2073,-2.3248
1131,-0.9221,-1.2813
1132,-1.9363,-1.7777
1133,-3.2128,-3.3482
1134,-2.1724,-1.9248
1135,-2.1423,-1.9597
1136,-0.7079,-0.4524
1137,-1.5854,-1.7178
1138,-1.082,-1.1626
1139,-1.4803,-1.4235
1140,-1.5382,-1.254
1141,-1.5409,-1.6262
1142,-1.7948,-2.0043
1143,-1.4786,-1.7377
1144,-1.1055,-1.0459
1145,-1.9205,-1.3357
1146,-2.8715,-2.7244
1147,-2.0725,-1.8489
1148,-1.9804,-1.7709
1149,-1.9816,-2.341
1150,-3.2763,-2.9874
1151,-1.2951,-1.3397
1152,-0.9264,-1.2187
1153,-2.4618,-2.3482
1154,-2.2227,-2.4694
1155,-2.2772,-1.8337
1156,-1.971,-1.9291
1157,-2.1644,-1.9961
1158,-1.5113,-1.4496
1159,-2.2184,-2.433
1160,-1.4375,-1.4985
1161,-0.7249,-0.3061
1162,-2.3436,-2.3899
1163,-1.2261,-0.8319
1164,-1.5715,-1.7676
1165,-1.6986,-2.0005
1166,-1.6319,-1.5889
1167,-1.1193,-1.3092
1168,-1.5777,-1.6001
1169,-1.1567,-1.6445
1170,-1.9543,-2.0719
1171,-1.2986,-0.9613
1172,-1.4415,-1.4769
1173,-1.8248,-1.9891
1174,-0.7894,-1.0118
1175,-1.4145,-1.453
1176,-2.0319,-2.3857
1177,-1.9745,-1.8392
1178,-1.6921,-1.8704
1179,-2.4649,-2.2887
1180,-1.3592,-1.8697
1181,-1.8004,-1.6038
1182,-1.1413,-0.7383
1183,-1.9916,-1.8177
1184,-1.2973,-0.8025
1185,-0.7235,-0.7832
1186,-2.0584,-2.3199
1187,-1.9928,-1.2765
1188,-1.042,-1.0563
1189,-1.4267,-1.4459
1190,-1.5741,-1.3742
1191,-1.7944,-2.2352
1192,-2.1703,-2.5656
1193,-1.3245,-1.4116
1194,-1.693,-1.8171
1195,-2.1134,-1.9044
1196,-1.4853,-1.5404
1197,-1.2999,-1.0925
1198,-1.3701,-1.4168
1199,-1.5441,-1.4504
1200,-1.8256,-1.5515
1201,-1.6431,-1.9195
1202,-2.2868,-1.8617
