feature_a,feature_b,audit_year,spearman_rho,abs_spearman_rho,p_value
serum_creatinine,hba1c_le_48_mmol_mol_6_5pct,2020_21,-0.485,0.485,0.001
serum_creatinine,hba1c_le_48_mmol_mol_6_5pct,2021_22,-0.239,0.239,0.127
serum_creatinine,hba1c_le_53_mmol_mol_7_0pct,2018_19,0.157,0.157,0.32
serum_creatinine,hba1c_le_53_mmol_mol_7_0pct,2019_20,-0.208,0.208,0.186
serum_creatinine,hba1c_le_53_mmol_mol_7_0pct,2020_21,-0.446,0.446,0.003
serum_creatinine,hba1c_le_53_mmol_mol_7_0pct,2021_22,-0.225,0.225,0.152
serum_creatinine,hba1c_le_58_mmol_mol_7_5pct,2018_19,0.122,0.122,0.44
serum_creatinine,hba1c_le_58_mmol_mol_7_5pct,2019_20,-0.239,0.239,0.128
serum_creatinine,hba1c_le_58_mmol_mol_7_5pct,2020_21,-0.402,0.402,0.008
serum_creatinine,hba1c_le_58_mmol_mol_7_5pct,2021_22,-0.179,0.179,0.258
serum_creatinine,hba1c_le_75_mmol_mol_9_0pct,2018_19,0.169,0.169,0.285
serum_creatinine,hba1c_le_75_mmol_mol_9_0pct,2019_20,-0.024,0.024,0.881
serum_creatinine,hba1c_le_75_mmol_mol_9_0pct,2020_21,-0.133,0.133,0.401
serum_creatinine,hba1c_le_75_mmol_mol_9_0pct,2021_22,0.068,0.068,0.67
serum_creatinine,hba1c_le_86_mmol_mol_10_0pct,2018_19,0.181,0.181,0.25
serum_creatinine,hba1c_le_86_mmol_mol_10_0pct,2019_20,0.057,0.057,0.718
serum_creatinine,hba1c_le_86_mmol_mol_10_0pct,2020_21,-0.02,0.02,0.899
serum_creatinine,hba1c_le_86_mmol_mol_10_0pct,2021_22,0.184,0.184,0.243
serum_creatinine,blood_pressure_le_140_80,2018_19,0.214,0.214,0.175
serum_creatinine,blood_pressure_le_140_80,2019_20,-0.135,0.135,0.393
serum_creatinine,blood_pressure_le_140_80,2020_21,-0.363,0.363,0.018
serum_creatinine,blood_pressure_le_140_80,2021_22,-0.047,0.047,0.766
serum_creatinine,primary_prevention_on_statins_without_cvd_history,2018_19,-0.026,0.026,0.869
serum_creatinine,primary_prevention_on_statins_without_cvd_history,2019_20,-0.079,0.079,0.618
serum_creatinine,primary_prevention_on_statins_without_cvd_history,2020_21,-0.082,0.082,0.605
serum_creatinine,primary_prevention_on_statins_without_cvd_history,2021_22,-0.09,0.09,0.573
serum_creatinine,secondary_prevention_on_statins_with_cvd_history,2018_19,-0.367,0.367,0.017
serum_creatinine,secondary_prevention_on_statins_with_cvd_history,2019_20,-0.462,0.462,0.002
serum_creatinine,secondary_prevention_on_statins_with_cvd_history,2020_21,-0.357,0.357,0.02
serum_creatinine,secondary_prevention_on_statins_with_cvd_history,2021_22,-0.389,0.389,0.011
serum_creatinine,combined_prevention_on_statins,2018_19,-0.021,0.021,0.893
serum_creatinine,combined_prevention_on_statins,2019_20,-0.067,0.067,0.673
serum_creatinine,combined_prevention_on_statins,2020_21,-0.117,0.117,0.459
serum_creatinine,combined_prevention_on_statins,2021_22,-0.073,0.073,0.644
serum_creatinine,all_three_treatment_targets,2018_19,0.061,0.061,0.7
serum_creatinine,all_three_treatment_targets,2019_20,-0.306,0.306,0.049
serum_creatinine,all_three_treatment_targets,2020_21,-0.454,0.454,0.003
serum_creatinine,all_three_treatment_targets,2021_22,-0.247,0.247,0.115
urine_albumin,foot_surveillance,2018_19,0.035,0.035,0.828
urine_albumin,foot_surveillance,2019_20,0.34,0.34,0.028
urine_albumin,foot_surveillance,2020_21,0.653,0.653,0.0
urine_albumin,foot_surveillance,2021_22,0.55,0.55,0.0
urine_albumin,bmi,2018_19,-0.033,0.033,0.835
urine_albumin,bmi,2019_20,0.498,0.498,0.001
urine_albumin,bmi,2020_21,0.714,0.714,0.0
urine_albumin,bmi,2021_22,0.656,0.656,0.0
urine_albumin,smoking,2018_19,0.332,0.332,0.032
urine_albumin,smoking,2019_20,0.421,0.421,0.006
urine_albumin,smoking,2020_21,0.483,0.483,0.001
urine_albumin,smoking,2021_22,0.345,0.345,0.025
urine_albumin,all_eight_care_processes,2018_19,0.965,0.965,0.0
urine_albumin,all_eight_care_processes,2019_20,0.784,0.784,0.0
urine_albumin,all_eight_care_processes,2020_21,0.884,0.884,0.0
urine_albumin,all_eight_care_processes,2021_22,0.865,0.865,0.0
urine_albumin,hba1c_le_48_mmol_mol_6_5pct,2018_19,0.173,0.173,0.272
urine_albumin,hba1c_le_48_mmol_mol_6_5pct,2019_20,-0.268,0.268,0.086
urine_albumin,hba1c_le_48_mmol_mol_6_5pct,2020_21,-0.257,0.257,0.1
urine_albumin,hba1c_le_48_mmol_mol_6_5pct,2021_22,-0.004,0.004,0.982
urine_albumin,hba1c_le_53_mmol_mol_7_0pct,2018_19,0.189,0.189,0.231
urine_albumin,hba1c_le_53_mmol_mol_7_0pct,2019_20,-0.216,0.216,0.169
urine_albumin,hba1c_le_53_mmol_mol_7_0pct,2020_21,-0.182,0.182,0.248
urine_albumin,hba1c_le_53_mmol_mol_7_0pct,2021_22,0.031,0.031,0.845
urine_albumin,hba1c_le_58_mmol_mol_7_5pct,2018_19,0.188,0.188,0.234
urine_albumin,hba1c_le_58_mmol_mol_7_5pct,2019_20,-0.207,0.207,0.188
urine_albumin,hba1c_le_58_mmol_mol_7_5pct,2020_21,-0.167,0.167,0.29
urine_albumin,hba1c_le_58_mmol_mol_7_5pct,2021_22,0.032,0.032,0.839
urine_albumin,hba1c_le_75_mmol_mol_9_0pct,2018_19,-0.012,0.012,0.941
urine_albumin,hba1c_le_75_mmol_mol_9_0pct,2019_20,-0.228,0.228,0.146
urine_albumin,hba1c_le_75_mmol_mol_9_0pct,2020_21,-0.136,0.136,0.391
urine_albumin,hba1c_le_75_mmol_mol_9_0pct,2021_22,0.094,0.094,0.552
urine_albumin,hba1c_le_86_mmol_mol_10_0pct,2018_19,-0.156,0.156,0.322
urine_albumin,hba1c_le_86_mmol_mol_10_0pct,2019_20,-0.276,0.276,0.077
urine_albumin,hba1c_le_86_mmol_mol_10_0pct,2020_21,-0.179,0.179,0.258
urine_albumin,hba1c_le_86_mmol_mol_10_0pct,2021_22,0.14,0.14,0.378
urine_albumin,blood_pressure_le_140_80,2018_19,0.314,0.314,0.043
urine_albumin,blood_pressure_le_140_80,2019_20,0.119,0.119,0.452
urine_albumin,blood_pressure_le_140_80,2020_21,-0.253,0.253,0.106
urine_albumin,blood_pressure_le_140_80,2021_22,-0.114,0.114,0.473
urine_albumin,primary_prevention_on_statins_without_cvd_history,2018_19,0.074,0.074,0.641
urine_albumin,primary_prevention_on_statins_without_cvd_history,2019_20,0.143,0.143,0.368
urine_albumin,primary_prevention_on_statins_without_cvd_history,2020_21,0.063,0.063,0.693
urine_albumin,primary_prevention_on_statins_without_cvd_history,2021_22,-0.076,0.076,0.631
urine_albumin,secondary_prevention_on_statins_with_cvd_history,2018_19,0.214,0.214,0.173
urine_albumin,secondary_prevention_on_statins_with_cvd_history,2019_20,0.128,0.128,0.42
urine_albumin,secondary_prevention_on_statins_with_cvd_history,2020_21,0.06,0.06,0.708
urine_albumin,secondary_prevention_on_statins_with_cvd_history,2021_22,-0.124,0.124,0.435
urine_albumin,combined_prevention_on_statins,2018_19,0.099,0.099,0.533
urine_albumin,combined_prevention_on_statins,2019_20,0.104,0.104,0.512
urine_albumin,combined_prevention_on_statins,2020_21,0.009,0.009,0.957
urine_albumin,combined_prevention_on_statins,2021_22,-0.137,0.137,0.388
urine_albumin,all_three_treatment_targets,2018_19,0.345,0.345,0.025
urine_albumin,all_three_treatment_targets,2019_20,-0.008,0.008,0.962
urine_albumin,all_three_treatment_targets,2020_21,-0.208,0.208,0.185
urine_albumin,all_three_treatment_targets,2021_22,-0.145,0.145,0.358
foot_surveillance,bmi,2018_19,0.424,0.424,0.005
foot_surveillance,bmi,2019_20,0.538,0.538,0.0
foot_surveillance,bmi,2020_21,0.68,0.68,0.0
foot_surveillance,bmi,2021_22,0.688,0.688,0.0
foot_surveillance,smoking,2018_19,0.66,0.66,0.0
foot_surveillance,smoking,2019_20,0.684,0.684,0.0
foot_surveillance,smoking,2020_21,0.686,0.686,0.0
foot_surveillance,smoking,2021_22,0.659,0.659,0.0
foot_surveillance,all_eight_care_processes,2018_19,0.128,0.128,0.418
foot_surveillance,all_eight_care_processes,2019_20,0.406,0.406,0.008
foot_surveillance,all_eight_care_processes,2020_21,0.853,0.853,0.0
