feature_a,feature_b,audit_year,spearman_rho,abs_spearman_rho,p_value
foot_surveillance,primary_prevention_on_statins_without_cvd_history,2021_22,0.145,0.145,0.36
foot_surveillance,secondary_prevention_on_statins_with_cvd_history,2018_19,0.445,0.445,0.003
foot_surveillance,secondary_prevention_on_statins_with_cvd_history,2019_20,0.385,0.385,0.012
foot_surveillance,secondary_prevention_on_statins_with_cvd_history,2020_21,0.242,0.242,0.122
foot_surveillance,secondary_prevention_on_statins_with_cvd_history,2021_22,0.135,0.135,0.394
foot_surveillance,combined_prevention_on_statins,2018_19,0.385,0.385,0.012
foot_surveillance,combined_prevention_on_statins,2019_20,0.397,0.397,0.009
foot_surveillance,combined_prevention_on_statins,2020_21,0.165,0.165,0.296
foot_surveillance,combined_prevention_on_statins,2021_22,0.143,0.143,0.366
foot_surveillance,all_three_treatment_targets,2018_19,0.372,0.372,0.015
foot_surveillance,all_three_treatment_targets,2019_20,0.195,0.195,0.215
foot_surveillance,all_three_treatment_targets,2020_21,-0.03,0.03,0.851
foot_surveillance,all_three_treatment_targets,2021_22,0.182,0.182,0.248
bmi,smoking,2018_19,0.503,0.503,0.001
bmi,smoking,2019_20,0.535,0.535,0.0
bmi,smoking,2020_21,0.453,0.453,0.003
bmi,smoking,2021_22,0.573,0.573,0.0
bmi,all_eight_care_processes,2018_19,0.081,0.081,0.608
bmi,all_eight_care_processes,2019_20,0.617,0.617,0.0
bmi,all_eight_care_processes,2020_21,0.742,0.742,0.0
bmi,all_eight_care_processes,2021_22,0.735,0.735,0.0
bmi,hba1c_le_48_mmol_mol_6_5pct,2018_19,-0.136,0.136,0.39
bmi,hba1c_le_48_mmol_mol_6_5pct,2019_20,-0.279,0.279,0.073
bmi,hba1c_le_48_mmol_mol_6_5pct,2020_21,-0.456,0.456,0.002
bmi,hba1c_le_48_mmol_mol_6_5pct,2021_22,-0.153,0.153,0.335
bmi,hba1c_le_53_mmol_mol_7_0pct,2018_19,-0.223,0.223,0.155
bmi,hba1c_le_53_mmol_mol_7_0pct,2019_20,-0.351,0.351,0.023
bmi,hba1c_le_53_mmol_mol_7_0pct,2020_21,-0.4,0.4,0.009
bmi,hba1c_le_53_mmol_mol_7_0pct,2021_22,-0.127,0.127,0.424
bmi,hba1c_le_58_mmol_mol_7_5pct,2018_19,-0.241,0.241,0.125
bmi,hba1c_le_58_mmol_mol_7_5pct,2019_20,-0.372,0.372,0.015
bmi,hba1c_le_58_mmol_mol_7_5pct,2020_21,-0.374,0.374,0.015
bmi,hba1c_le_58_mmol_mol_7_5pct,2021_22,-0.089,0.089,0.576
bmi,hba1c_le_75_mmol_mol_9_0pct,2018_19,-0.145,0.145,0.359
bmi,hba1c_le_75_mmol_mol_9_0pct,2019_20,-0.237,0.237,0.131
bmi,hba1c_le_75_mmol_mol_9_0pct,2020_21,-0.158,0.158,0.318
bmi,hba1c_le_75_mmol_mol_9_0pct,2021_22,0.071,0.071,0.653
bmi,hba1c_le_86_mmol_mol_10_0pct,2018_19,-0.121,0.121,0.447
bmi,hba1c_le_86_mmol_mol_10_0pct,2019_20,-0.203,0.203,0.197
bmi,hba1c_le_86_mmol_mol_10_0pct,2020_21,-0.09,0.09,0.573
bmi,hba1c_le_86_mmol_mol_10_0pct,2021_22,0.161,0.161,0.309
bmi,blood_pressure_le_140_80,2018_19,0.168,0.168,0.287
bmi,blood_pressure_le_140_80,2019_20,0.075,0.075,0.636
bmi,blood_pressure_le_140_80,2020_21,-0.296,0.296,0.057
bmi,blood_pressure_le_140_80,2021_22,0.027,0.027,0.865
bmi,primary_prevention_on_statins_without_cvd_history,2018_19,0.354,0.354,0.022
bmi,primary_prevention_on_statins_without_cvd_history,2019_20,0.245,0.245,0.118
bmi,primary_prevention_on_statins_without_cvd_history,2020_21,0.086,0.086,0.589
bmi,primary_prevention_on_statins_without_cvd_history,2021_22,0.055,0.055,0.729
bmi,secondary_prevention_on_statins_with_cvd_history,2018_19,0.049,0.049,0.759
bmi,secondary_prevention_on_statins_with_cvd_history,2019_20,-0.069,0.069,0.666
bmi,secondary_prevention_on_statins_with_cvd_history,2020_21,-0.132,0.132,0.406
bmi,secondary_prevention_on_statins_with_cvd_history,2021_22,-0.096,0.096,0.545
bmi,combined_prevention_on_statins,2018_19,0.376,0.376,0.014
bmi,combined_prevention_on_statins,2019_20,0.236,0.236,0.133
bmi,combined_prevention_on_statins,2020_21,0.045,0.045,0.778
bmi,combined_prevention_on_statins,2021_22,0.051,0.051,0.749
bmi,all_three_treatment_targets,2018_19,-0.114,0.114,0.47
bmi,all_three_treatment_targets,2019_20,-0.248,0.248,0.113
bmi,all_three_treatment_targets,2020_21,-0.396,0.396,0.009
bmi,all_three_treatment_targets,2021_22,-0.098,0.098,0.536
smoking,all_eight_care_processes,2018_19,0.41,0.41,0.007
smoking,all_eight_care_processes,2019_20,0.538,0.538,0.0
smoking,all_eight_care_processes,2020_21,0.579,0.579,0.0
smoking,all_eight_care_processes,2021_22,0.504,0.504,0.001
smoking,hba1c_le_48_mmol_mol_6_5pct,2018_19,0.004,0.004,0.98
smoking,hba1c_le_48_mmol_mol_6_5pct,2019_20,-0.015,0.015,0.927
smoking,hba1c_le_48_mmol_mol_6_5pct,2020_21,0.04,0.04,0.8
smoking,hba1c_le_48_mmol_mol_6_5pct,2021_22,0.079,0.079,0.618
smoking,hba1c_le_53_mmol_mol_7_0pct,2018_19,0.009,0.009,0.954
smoking,hba1c_le_53_mmol_mol_7_0pct,2019_20,-0.002,0.002,0.991
smoking,hba1c_le_53_mmol_mol_7_0pct,2020_21,-0.004,0.004,0.979
smoking,hba1c_le_53_mmol_mol_7_0pct,2021_22,0.061,0.061,0.703
smoking,hba1c_le_58_mmol_mol_7_5pct,2018_19,0.053,0.053,0.741
smoking,hba1c_le_58_mmol_mol_7_5pct,2019_20,0.045,0.045,0.777
smoking,hba1c_le_58_mmol_mol_7_5pct,2020_21,-0.025,0.025,0.877
smoking,hba1c_le_58_mmol_mol_7_5pct,2021_22,0.114,0.114,0.47
smoking,hba1c_le_75_mmol_mol_9_0pct,2018_19,-0.05,0.05,0.751
smoking,hba1c_le_75_mmol_mol_9_0pct,2019_20,-0.073,0.073,0.646
smoking,hba1c_le_75_mmol_mol_9_0pct,2020_21,-0.083,0.083,0.601
smoking,hba1c_le_75_mmol_mol_9_0pct,2021_22,0.049,0.049,0.759
smoking,hba1c_le_86_mmol_mol_10_0pct,2018_19,-0.193,0.193,0.222
smoking,hba1c_le_86_mmol_mol_10_0pct,2019_20,-0.154,0.154,0.329
smoking,hba1c_le_86_mmol_mol_10_0pct,2020_21,-0.165,0.165,0.297
smoking,hba1c_le_86_mmol_mol_10_0pct,2021_22,0.036,0.036,0.819
smoking,blood_pressure_le_140_80,2018_19,0.483,0.483,0.001
smoking,blood_pressure_le_140_80,2019_20,0.381,0.381,0.013
smoking,blood_pressure_le_140_80,2020_21,0.26,0.26,0.096
smoking,blood_pressure_le_140_80,2021_22,0.43,0.43,0.005
smoking,primary_prevention_on_statins_without_cvd_history,2018_19,0.558,0.558,0.0
smoking,primary_prevention_on_statins_without_cvd_history,2019_20,0.513,0.513,0.001
smoking,primary_prevention_on_statins_without_cvd_history,2020_21,0.47,0.47,0.002
smoking,primary_prevention_on_statins_without_cvd_history,2021_22,0.326,0.326,0.035
smoking,secondary_prevention_on_statins_with_cvd_history,2018_19,0.647,0.647,0.0
smoking,secondary_prevention_on_statins_with_cvd_history,2019_20,0.619,0.619,0.0
smoking,secondary_prevention_on_statins_with_cvd_history,2020_21,0.659,0.659,0.0
smoking,secondary_prevention_on_statins_with_cvd_history,2021_22,0.561,0.561,0.0
smoking,combined_prevention_on_statins,2018_19,0.598,0.598,0.0
smoking,combined_prevention_on_statins,2019_20,0.554,0.554,0.0
smoking,combined_prevention_on_statins,2020_21,0.459,0.459,0.002
smoking,combined_prevention_on_statins,2021_22,0.38,0.38,0.013
smoking,all_three_treatment_targets,2018_19,0.34,0.34,0.027
smoking,all_three_treatment_targets,2019_20,0.26,0.26,0.096
smoking,all_three_treatment_targets,2020_21,0.223,0.223,0.156
smoking,all_three_treatment_targets,2021_22,0.368,0.368,0.017
all_eight_care_processes,hba1c_le_48_mmol_mol_6_5pct,2018_19,0.137,0.137,0.388
all_eight_care_processes,hba1c_le_48_mmol_mol_6_5pct,2019_20,-0.321,0.321,0.038
all_eight_care_processes,hba1c_le_48_mmol_mol_6_5pct,2020_21,-0.099,0.099,0.532
all_eight_care_processes,hba1c_le_48_mmol_mol_6_5pct,2021_22,0.141,0.141,0.374
all_eight_care_processes,hba1c_le_53_mmol_mol_7_0pct,2018_19,0.178,0.178,0.259
all_eight_care_processes,hba1c_le_53_mmol_mol_7_0pct,2019_20,-0.207,0.207,0.189
all_eight_care_processes,hba1c_le_53_mmol_mol_7_0pct,2020_21,-0.035,0.035,0.824
all_eight_care_processes,hba1c_le_53_mmol_mol_7_0pct,2021_22,0.153,0.153,0.332
all_eight_care_processes,hba1c_le_58_mmol_mol_7_5pct,2018_19,0.188,0.188,0.232
all_eight_care_processes,hba1c_le_58_mmol_mol_7_5pct,2019_20,-0.16,0.16,0.312
all_eight_care_processes,hba1c_le_58_mmol_mol_7_5pct,2020_21,-0.033,0.033,0.836
all_eight_care_processes,hba1c_le_58_mmol_mol_7_5pct,2021_22,0.139,0.139,0.378
all_eight_care_processes,hba1c_le_75_mmol_mol_9_0pct,2018_19,0.009,0.009,0.957
all_eight_care_processes,hba1c_le_75_mmol_mol_9_0pct,2019_20,-0.162,0.162,0.306
all_eight_care_processes,hba1c_le_75_mmol_mol_9_0pct,2020_21,0.013,0.013,0.933
all_eight_care_processes,hba1c_le_75_mmol_mol_9_0pct,2021_22,0.171,0.171,0.278
all_eight_care_processes,hba1c_le_86_mmol_mol_10_0pct,2018_19,-0.122,0.122,0.44
all_eight_care_processes,hba1c_le_86_mmol_mol_10_0pct,2019_20,-0.233,0.233,0.137
all_eight_care_processes,hba1c_le_86_mmol_mol_10_0pct,2020_21,-0.008,0.008,0.96
all_eight_care_processes,hba1c_le_86_mmol_mol_10_0pct,2021_22,0.197,0.197,0.211
all_eight_care_processes,blood_pressure_le_140_80,2018_19,0.349,0.349,0.024
all_eight_care_processes,blood_pressure_le_140_80,2019_20,0.094,0.094,0.554
all_eight_care_processes,blood_pressure_le_140_80,2020_21,-0.212,0.212,0.177
all_eight_care_processes,blood_pressure_le_140_80,2021_22,-0.081,0.081,0.612
all_eight_care_processes,primary_prevention_on_statins_without_cvd_history,2018_19,0.113,0.113,0.478
all_eight_care_processes,primary_prevention_on_statins_without_cvd_history,2019_20,0.145,0.145,0.358
all_eight_care_processes,primary_prevention_on_statins_without_cvd_history,2020_21,0.095,0.095,0.549
all_eight_care_processes,primary_prevention_on_statins_without_cvd_history,2021_22,0.056,0.056,0.724
all_eight_care_processes,secondary_prevention_on_statins_with_cvd_history,2018_19,0.203,0.203,0.197
all_eight_care_processes,secondary_prevention_on_statins_with_cvd_history,2019_20,0.092,0.092,0.563
all_eight_care_processes,secondary_prevention_on_statins_with_cvd_history,2020_21,0.114,0.114,0.473
all_eight_care_processes,secondary_prevention_on_statins_with_cvd_history,2021_22,0.05,0.05,0.751
all_eight_care_processes,combined_prevention_on_statins,2018_19,0.132,0.132,0.403
all_eight_care_processes,combined_prevention_on_statins,2019_20,0.143,0.143,0.367
all_eight_care_processes,combined_prevention_on_statins,2020_21,0.045,0.045,0.779
all_eight_care_processes,combined_prevention_on_statins,2021_22,0.015,0.015,0.923
all_eight_care_processes,all_three_treatment_targets,2018_19,0.344,0.344,0.026
all_eight_care_processes,all_three_treatment_targets,2019_20,0.01,0.01,0.949
all_eight_care_processes,all_three_treatment_targets,2020_21,-0.106,0.106,0.503
all_eight_care_processes,all_three_treatment_targets,2021_22,-0.028,0.028,0.86
hba1c_le_48_mmol_mol_6_5pct,hba1c_le_53_mmol_mol_7_0pct,2018_19,0.915,0.915,0.0
hba1c_le_48_mmol_mol_6_5pct,hba1c_le_53_mmol_mol_7_0pct,2019_20,0.861,0.861,0.0
hba1c_le_48_mmol_mol_6_5pct,hba1c_le_53_mmol_mol_7_0pct,2020_21,0.917,0.917,0.0
hba1c_le_48_mmol_mol_6_5pct,hba1c_le_53_mmol_mol_7_0pct,2021_22,0.963,0.963,0.0
hba1c_le_48_mmol_mol_6_5pct,hba1c_le_58_mmol_mol_7_5pct,2018_19,0.841,0.841,0.0
hba1c_le_48_mmol_mol_6_5pct,hba1c_le_58_mmol_mol_7_5pct,2019_20,0.733,0.733,0.0
hba1c_le_48_mmol_mol_6_5pct,hba1c_le_58_mmol_mol_7_5pct,2020_21,0.815,0.815,0.0
hba1c_le_48_mmol_mol_6_5pct,hba1c_le_58_mmol_mol_7_5pct,2021_22,0.899,0.899,0.0
hba1c_le_48_mmol_mol_6_5pct,hba1c_le_75_mmol_mol_9_0pct,2018_19,0.65,0.65,0.0
hba1c_le_48_mmol_mol_6_5pct,hba1c_le_75_mmol_mol_9_0pct,2019_20,0.511,0.511,0.001
hba1c_le_48_mmol_mol_6_5pct,hba1c_le_75_mmol_mol_9_0pct,2020_21,0.594,0.594,0.0
hba1c_le_48_mmol_mol_6_5pct,hba1c_le_75_mmol_mol_9_0pct,2021_22,0.722,0.722,0.0
hba1c_le_48_mmol_mol_6_5pct,hba1c_le_86_mmol_mol_10_0pct,2018_19,0.519,0.519,0.0
hba1c_le_48_mmol_mol_6_5pct,hba1c_le_86_mmol_mol_10_0pct,2019_20,0.488,0.488,0.001
hba1c_le_48_mmol_mol_6_5pct,hba1c_le_86_mmol_mol_10_0pct,2020_21,0.502,0.502,0.001
hba1c_le_48_mmol_mol_6_5pct,hba1c_le_86_mmol_mol_10_0pct,2021_22,0.636,0.636,0.0
hba1c_le_48_mmol_mol_6_5pct,blood_pressure_le_140_80,2018_19,0.343,0.343,0.026
hba1c_le_48_mmol_mol_6_5pct,blood_pressure_le_140_80,2019_20,0.362,0.362,0.018
hba1c_le_48_mmol_mol_6_5pct,blood_pressure_le_140_80,2020_21,0.417,0.417,0.006
hba1c_le_48_mmol_mol_6_5pct,blood_pressure_le_140_80,2021_22,0.333,0.333,0.031
hba1c_le_48_mmol_mol_6_5pct,primary_prevention_on_statins_without_cvd_history,2018_19,-0.167,0.167,0.29
hba1c_le_48_mmol_mol_6_5pct,primary_prevention_on_statins_without_cvd_history,2019_20,-0.036,0.036,0.821
hba1c_le_48_mmol_mol_6_5pct,primary_prevention_on_statins_without_cvd_history,2020_21,0.162,0.162,0.304
hba1c_le_48_mmol_mol_6_5pct,primary_prevention_on_statins_without_cvd_history,2021_22,0.216,0.216,0.17
hba1c_le_48_mmol_mol_6_5pct,secondary_prevention_on_statins_with_cvd_history,2018_19,0.032,0.032,0.841
hba1c_le_48_mmol_mol_6_5pct,secondary_prevention_on_statins_with_cvd_history,2019_20,0.215,0.215,0.171
hba1c_le_48_mmol_mol_6_5pct,secondary_prevention_on_statins_with_cvd_history,2020_21,0.389,0.389,0.011
hba1c_le_48_mmol_mol_6_5pct,secondary_prevention_on_statins_with_cvd_history,2021_22,0.26,0.26,0.096
hba1c_le_48_mmol_mol_6_5pct,combined_prevention_on_statins,2018_19,-0.117,0.117,0.46
hba1c_le_48_mmol_mol_6_5pct,combined_prevention_on_statins,2019_20,0.04,0.04,0.801
hba1c_le_48_mmol_mol_6_5pct,combined_prevention_on_statins,2020_21,0.195,0.195,0.216
hba1c_le_48_mmol_mol_6_5pct,combined_prevention_on_statins,2021_22,0.214,0.214,0.174
hba1c_le_48_mmol_mol_6_5pct,all_three_treatment_targets,2018_19,0.647,0.647,0.0
hba1c_le_48_mmol_mol_6_5pct,all_three_treatment_targets,2019_20,0.594,0.594,0.0
hba1c_le_48_mmol_mol_6_5pct,all_three_treatment_targets,2020_21,0.697,0.697,0.0
hba1c_le_48_mmol_mol_6_5pct,all_three_treatment_targets,2021_22,0.694,0.694,0.0
hba1c_le_53_mmol_mol_7_0pct,hba1c_le_58_mmol_mol_7_5pct,2018_19,0.97,0.97,0.0
hba1c_le_53_mmol_mol_7_0pct,hba1c_le_58_mmol_mol_7_5pct,2019_20,0.946,0.946,0.0
hba1c_le_53_mmol_mol_7_0pct,hba1c_le_58_mmol_mol_7_5pct,2020_21,0.956,0.956,0.0
hba1c_le_53_mmol_mol_7_0pct,hba1c_le_58_mmol_mol_7_5pct,2021_22,0.963,0.963,0.0
hba1c_le_53_mmol_mol_7_0pct,hba1c_le_75_mmol_mol_9_0pct,2018_19,0.784,0.784,0.0
hba1c_le_53_mmol_mol_7_0pct,hba1c_le_75_mmol_mol_9_0pct,2019_20,0.744,0.744,0.0
hba1c_le_53_mmol_mol_7_0pct,hba1c_le_75_mmol_mol_9_0pct,2020_21,0.763,0.763,0.0
hba1c_le_53_mmol_mol_7_0pct,hba1c_le_75_mmol_mol_9_0pct,2021_22,0.816,0.816,0.0
hba1c_le_53_mmol_mol_7_0pct,hba1c_le_86_mmol_mol_10_0pct,2018_19,0.64,0.64,0.0
hba1c_le_53_mmol_mol_7_0pct,hba1c_le_86_mmol_mol_10_0pct,2019_20,0.674,0.674,0.0
hba1c_le_53_mmol_mol_7_0pct,hba1c_le_86_mmol_mol_10_0pct,2020_21,0.635,0.635,0.0
hba1c_le_53_mmol_mol_7_0pct,hba1c_le_86_mmol_mol_10_0pct,2021_22,0.723,0.723,0.0
hba1c_le_53_mmol_mol_7_0pct,blood_pressure_le_140_80,2018_19,0.378,0.378,0.013
hba1c_le_53_mmol_mol_7_0pct,blood_pressure_le_140_80,2019_20,0.38,0.38,0.013
hba1c_le_53_mmol_mol_7_0pct,blood_pressure_le_140_80,2020_21,0.321,0.321,0.038
hba1c_le_53_mmol_mol_7_0pct,blood_pressure_le_140_80,2021_22,0.254,0.254,0.105
hba1c_le_53_mmol_mol_7_0pct,primary_prevention_on_statins_without_cvd_history,2018_19,-0.195,0.195,0.216
hba1c_le_53_mmol_mol_7_0pct,primary_prevention_on_statins_without_cvd_history,2019_20,-0.002,0.002,0.989
hba1c_le_53_mmol_mol_7_0pct,primary_prevention_on_statins_without_cvd_history,2020_21,0.15,0.15,0.342
hba1c_le_53_mmol_mol_7_0pct,primary_prevention_on_statins_without_cvd_history,2021_22,0.197,0.197,0.21
hba1c_le_53_mmol_mol_7_0pct,secondary_prevention_on_statins_with_cvd_history,2018_19,-0.009,0.009,0.954
hba1c_le_53_mmol_mol_7_0pct,secondary_prevention_on_statins_with_cvd_history,2019_20,0.211,0.211,0.181
hba1c_le_53_mmol_mol_7_0pct,secondary_prevention_on_statins_with_cvd_history,2020_21,0.263,0.263,0.092
hba1c_le_53_mmol_mol_7_0pct,secondary_prevention_on_statins_with_cvd_history,2021_22,0.204,0.204,0.194
hba1c_le_53_mmol_mol_7_0pct,combined_prevention_on_statins,2018_19,-0.159,0.159,0.314
hba1c_le_53_mmol_mol_7_0pct,combined_prevention_on_statins,2019_20,0.063,0.063,0.691
hba1c_le_53_mmol_mol_7_0pct,combined_prevention_on_statins,2020_21,0.161,0.161,0.309
hba1c_le_53_mmol_mol_7_0pct,combined_prevention_on_statins,2021_22,0.169,0.169,0.285
hba1c_le_53_mmol_mol_7_0pct,all_three_treatment_targets,2018_19,0.749,0.749,0.0
hba1c_le_53_mmol_mol_7_0pct,all_three_treatment_targets,2019_20,0.717,0.717,0.0
hba1c_le_53_mmol_mol_7_0pct,all_three_treatment_targets,2020_21,0.681,0.681,0.0
hba1c_le_53_mmol_mol_7_0pct,all_three_treatment_targets,2021_22,0.658,0.658,0.0
hba1c_le_58_mmol_mol_7_5pct,hba1c_le_75_mmol_mol_9_0pct,2018_19,0.83,0.83,0.0
hba1c_le_58_mmol_mol_7_5pct,hba1c_le_75_mmol_mol_9_0pct,2019_20,0.829,0.829,0.0
hba1c_le_58_mmol_mol_7_5pct,hba1c_le_75_mmol_mol_9_0pct,2020_21,0.882,0.882,0.0
hba1c_le_58_mmol_mol_7_5pct,hba1c_le_75_mmol_mol_9_0pct,2021_22,0.899,0.899,0.0
hba1c_le_58_mmol_mol_7_5pct,hba1c_le_86_mmol_mol_10_0pct,2018_19,0.682,0.682,0.0
hba1c_le_58_mmol_mol_7_5pct,hba1c_le_86_mmol_mol_10_0pct,2019_20,0.73,0.73,0.0
hba1c_le_58_mmol_mol_7_5pct,hba1c_le_86_mmol_mol_10_0pct,2020_21,0.755,0.755,0.0
hba1c_le_58_mmol_mol_7_5pct,hba1c_le_86_mmol_mol_10_0pct,2021_22,0.805,0.805,0.0
hba1c_le_58_mmol_mol_7_5pct,blood_pressure_le_140_80,2018_19,0.435,0.435,0.004
hba1c_le_58_mmol_mol_7_5pct,blood_pressure_le_140_80,2019_20,0.449,0.449,0.003
hba1c_le_58_mmol_mol_7_5pct,blood_pressure_le_140_80,2020_21,0.272,0.272,0.082
hba1c_le_58_mmol_mol_7_5pct,blood_pressure_le_140_80,2021_22,0.273,0.273,0.081
hba1c_le_58_mmol_mol_7_5pct,primary_prevention_on_statins_without_cvd_history,2018_19,-0.165,0.165,0.298
hba1c_le_58_mmol_mol_7_5pct,primary_prevention_on_statins_without_cvd_history,2019_20,0.029,0.029,0.854
hba1c_le_58_mmol_mol_7_5pct,primary_prevention_on_statins_without_cvd_history,2020_21,0.134,0.134,0.399
hba1c_le_58_mmol_mol_7_5pct,primary_prevention_on_statins_without_cvd_history,2021_22,0.219,0.219,0.163
hba1c_le_58_mmol_mol_7_5pct,secondary_prevention_on_statins_with_cvd_history,2018_19,0.015,0.015,0.926
hba1c_le_58_mmol_mol_7_5pct,secondary_prevention_on_statins_with_cvd_history,2019_20,0.259,0.259,0.097
hba1c_le_58_mmol_mol_7_5pct,secondary_prevention_on_statins_with_cvd_history,2020_21,0.197,0.197,0.211
hba1c_le_58_mmol_mol_7_5pct,secondary_prevention_on_statins_with_cvd_history,2021_22,0.216,0.216,0.169
hba1c_le_58_mmol_mol_7_5pct,combined_prevention_on_statins,2018_19,-0.14,0.14,0.376
hba1c_le_58_mmol_mol_7_5pct,combined_prevention_on_statins,2019_20,0.092,0.092,0.562
hba1c_le_58_mmol_mol_7_5pct,combined_prevention_on_statins,2020_21,0.121,0.121,0.444
hba1c_le_58_mmol_mol_7_5pct,combined_prevention_on_statins,2021_22,0.182,0.182,0.25
hba1c_le_58_mmol_mol_7_5pct,all_three_treatment_targets,2018_19,0.798,0.798,0.0
hba1c_le_58_mmol_mol_7_5pct,all_three_treatment_targets,2019_20,0.786,0.786,0.0
hba1c_le_58_mmol_mol_7_5pct,all_three_treatment_targets,2020_21,0.674,0.674,0.0
hba1c_le_58_mmol_mol_7_5pct,all_three_treatment_targets,2021_22,0.682,0.682,0.0
hba1c_le_75_mmol_mol_9_0pct,hba1c_le_86_mmol_mol_10_0pct,2018_19,0.946,0.946,0.0
hba1c_le_75_mmol_mol_9_0pct,hba1c_le_86_mmol_mol_10_0pct,2019_20,0.965,0.965,0.0
hba1c_le_75_mmol_mol_9_0pct,hba1c_le_86_mmol_mol_10_0pct,2020_21,0.954,0.954,0.0
hba1c_le_75_mmol_mol_9_0pct,hba1c_le_86_mmol_mol_10_0pct,2021_22,0.966,0.966,0.0
hba1c_le_75_mmol_mol_9_0pct,blood_pressure_le_140_80,2018_19,0.26,0.26,0.096
hba1c_le_75_mmol_mol_9_0pct,blood_pressure_le_140_80,2019_20,0.226,0.226,0.151
hba1c_le_75_mmol_mol_9_0pct,blood_pressure_le_140_80,2020_21,0.179,0.179,0.255
hba1c_le_75_mmol_mol_9_0pct,blood_pressure_le_140_80,2021_22,0.145,0.145,0.359
hba1c_le_75_mmol_mol_9_0pct,primary_prevention_on_statins_without_cvd_history,2018_19,-0.228,0.228,0.147
hba1c_le_75_mmol_mol_9_0pct,primary_prevention_on_statins_without_cvd_history,2019_20,-0.034,0.034,0.833
hba1c_le_75_mmol_mol_9_0pct,primary_prevention_on_statins_without_cvd_history,2020_21,0.126,0.126,0.427
hba1c_le_75_mmol_mol_9_0pct,primary_prevention_on_statins_without_cvd_history,2021_22,0.165,0.165,0.295
hba1c_le_75_mmol_mol_9_0pct,secondary_prevention_on_statins_with_cvd_history,2018_19,-0.181,0.181,0.252
hba1c_le_75_mmol_mol_9_0pct,secondary_prevention_on_statins_with_cvd_history,2019_20,-0.009,0.009,0.953
hba1c_le_75_mmol_mol_9_0pct,secondary_prevention_on_statins_with_cvd_history,2020_21,-0.006,0.006,0.97
hba1c_le_75_mmol_mol_9_0pct,secondary_prevention_on_statins_with_cvd_history,2021_22,-0.002,0.002,0.99
hba1c_le_75_mmol_mol_9_0pct,combined_prevention_on_statins,2018_19,-0.209,0.209,0.185
hba1c_le_75_mmol_mol_9_0pct,combined_prevention_on_statins,2019_20,-0.002,0.002,0.992
hba1c_le_75_mmol_mol_9_0pct,combined_prevention_on_statins,2020_21,0.093,0.093,0.558
hba1c_le_75_mmol_mol_9_0pct,combined_prevention_on_statins,2021_22,0.113,0.113,0.478
hba1c_le_75_mmol_mol_9_0pct,all_three_treatment_targets,2018_19,0.582,0.582,0.0
hba1c_le_75_mmol_mol_9_0pct,all_three_treatment_targets,2019_20,0.56,0.56,0.0
hba1c_le_75_mmol_mol_9_0pct,all_three_treatment_targets,2020_21,0.561,0.561,0.0
hba1c_le_75_mmol_mol_9_0pct,all_three_treatment_targets,2021_22,0.522,0.522,0.0
hba1c_le_86_mmol_mol_10_0pct,blood_pressure_le_140_80,2018_19,0.186,0.186,0.237
hba1c_le_86_mmol_mol_10_0pct,blood_pressure_le_140_80,2019_20,0.146,0.146,0.355
hba1c_le_86_mmol_mol_10_0pct,blood_pressure_le_140_80,2020_21,0.123,0.123,0.437
hba1c_le_86_mmol_mol_10_0pct,blood_pressure_le_140_80,2021_22,0.142,0.142,0.37
hba1c_le_86_mmol_mol_10_0pct,primary_prevention_on_statins_without_cvd_history,2018_19,-0.287,0.287,0.065
hba1c_le_86_mmol_mol_10_0pct,primary_prevention_on_statins_without_cvd_history,2019_20,-0.062,0.062,0.695
hba1c_le_86_mmol_mol_10_0pct,primary_prevention_on_statins_without_cvd_history,2020_21,0.089,0.089,0.575
hba1c_le_86_mmol_mol_10_0pct,primary_prevention_on_statins_without_cvd_history,2021_22,0.096,0.096,0.544
hba1c_le_86_mmol_mol_10_0pct,secondary_prevention_on_statins_with_cvd_history,2018_19,-0.349,0.349,0.024
hba1c_le_86_mmol_mol_10_0pct,secondary_prevention_on_statins_with_cvd_history,2019_20,-0.123,0.123,0.436
hba1c_le_86_mmol_mol_10_0pct,secondary_prevention_on_statins_with_cvd_history,2020_21,-0.111,0.111,0.486
hba1c_le_86_mmol_mol_10_0pct,secondary_prevention_on_statins_with_cvd_history,2021_22,-0.129,0.129,0.416
hba1c_le_86_mmol_mol_10_0pct,combined_prevention_on_statins,2018_19,-0.284,0.284,0.068
hba1c_le_86_mmol_mol_10_0pct,combined_prevention_on_statins,2019_20,-0.038,0.038,0.81
hba1c_le_86_mmol_mol_10_0pct,combined_prevention_on_statins,2020_21,0.054,0.054,0.736
hba1c_le_86_mmol_mol_10_0pct,combined_prevention_on_statins,2021_22,0.034,0.034,0.83
hba1c_le_86_mmol_mol_10_0pct,all_three_treatment_targets,2018_19,0.423,0.423,0.005
hba1c_le_86_mmol_mol_10_0pct,all_three_treatment_targets,2019_20,0.46,0.46,0.002
hba1c_le_86_mmol_mol_10_0pct,all_three_treatment_targets,2020_21,0.468,0.468,0.002
hba1c_le_86_mmol_mol_10_0pct,all_three_treatment_targets,2021_22,0.449,0.449,0.003
blood_pressure_le_140_80,primary_prevention_on_statins_without_cvd_history,2018_19,0.261,0.261,0.095
blood_pressure_le_140_80,primary_prevention_on_statins_without_cvd_history,2019_20,0.216,0.216,0.169
