icb_code,predictor_period,target_year,hba1c,blood_pressure,cholesterol,serum_creatinine,urine_albumin,foot_surveillance,bmi,smoking,all_eight_care_processes,hba1c_le_48_mmol_mol_6_5pct,hba1c_le_53_mmol_mol_7_0pct,hba1c_le_58_mmol_mol_7_5pct,hba1c_le_75_mmol_mol_9_0pct,hba1c_le_86_mmol_mol_10_0pct,blood_pressure_le_140_80,all_three_treatment_targets,primary_prevention_on_statins_without_cvd_history,secondary_prevention_on_statins_with_cvd_history,combined_prevention_on_statins
QKS,2019_20,2021,64.71536523929471,93.41395817586292,88.53111615016377,92.43638196019148,57.661879566641474,78.84605694129505,82.31292517006803,92.81934996220711,33.91939546599496,32.10736364347758,51.42812426637452,65.69371625322795,87.18992096408171,92.91024336802568,71.37673310225303,38.627233096845885,70.06354796723069,85.29539530842746,74.02773846589301
QM7,2019_20,2021,93.5665833630846,94.8195784208646,90.03929974991068,93.56198642372276,64.30868167202573,83.79421221864952,86.35941407645588,94.4908896034298,56.42270617636559,33.19070904645477,52.97218826405869,67.29828850855746,88.47035452322739,93.7958435207824,71.50774369875494,40.93046275674338,72.4841737611875,87.6547127895906,76.33587786259542
QMF,2019_20,2021,93.35035395149124,96.20076681770652,91.19708764184192,92.58355602029356,70.92289221951124,87.38236319275009,90.40703303512645,96.89012819023276,64.45011798383041,32.09319804584743,50.26932230990856,64.17386947262933,85.41483986805295,91.68232494049856,76.65374363944754,42.268627966027495,77.5288450767335,92.0297129090544,80.68838675775092
QMJ,2019_20,2021,93.6311539463402,95.50459313310311,91.28933481008534,92.78780376571764,69.21623558538016,84.62440549872956,84.79379764154017,95.43944230894522,58.56342797603542,32.78642742442226,53.15925434615654,67.56964323116665,87.02785729246666,92.43175312434546,77.94349045631799,46.61460251970824,73.89505360165506,89.65517241379311,77.40331895606404
QMM,2019_20,2021,95.36945812807882,95.483288166215,91.09797158577646,95.26155867619282,67.70140428677014,83.58380553502505,90.86802989242014,95.46686375954668,60.76354679802955,27.86052518295308,47.3697804563065,62.18682737839001,86.37107188979768,92.69048643994834,73.56102635228848,35.4025127966496,71.54849541521374,82.97655453618756,74.69586374695864
QNC,2019_20,2021,93.92428020856948,94.92025096379167,91.00461108171442,93.47645324665508,66.2257162294958,82.38717968100386,88.32111270693174,95.6383702471842,58.7017305221794,35.55609835531672,54.61651196873474,67.46458231558378,88.12082722683601,93.67366878358574,74.61851881441241,43.498653695822114,72.38028333918744,86.29882207067577,76.20464009518145
QNQ,2019_20,2021,94.17773237997956,95.49112274875463,91.09720270788095,94.5842380891557,77.45561374377316,86.25622684889514,89.51334780942649,96.32136926810576,70.21195097037793,31.775573970927866,51.43322918081782,66.03722320336911,87.70547479961962,93.31612552642304,74.52006980802793,42.008078476630125,73.13404417364814,87.70053475935828,76.68348954578227
QNX,2019_20,2021,94.22170465258138,95.22858411007546,90.13537505548156,94.62383488681758,71.80426098535287,83.83821571238349,88.83710608078118,94.19107856191744,65.13059391116288,30.5031817110535,52.1388168748527,66.03228847513552,88.19820881451803,93.76031110063634,71.17302052785924,38.83100381194409,69.94795801358384,82.9806192916017,73.64928909952607
QOC,2019_20,2021,95.34510433386838,95.11325129302658,91.52844658462637,95.11325129302658,61.0665239878723,73.85411093276262,83.09256286784377,92.74121633672196,46.0852505796326,33.53304624602134,51.56337764463584,65.00655307994757,86.65043999251077,92.9226736566186,70.79263711495116,39.08742176458712,71.56371730662214,84.12811387900356,75.11502300460093
QOP,2019_20,2021,94.68183307030344,95.35908969050668,91.81138482618928,94.31652318965774,69.0030085490453,81.96657829674422,87.63814006136249,96.24973935837478,59.62242801417384,34.245149077141505,53.72456223379082,66.9947941315665,87.16516800757216,92.94210443287584,75.32145769303142,41.968427727530624,76.28526354862657,88.77443521011355,79.83584222244376
